,mag_x,mag_y,mag_z
67,2.556451574962016,-0.7014278345739311,0
68,2.513010636966105,-0.40142782265300214,0
69,2.6150910044716555,-0.10142781073207319,0
70,2.5721276300655562,0.19857220118885577,0
71,2.4191503571974,0.4985722131097847,0
72,2.1226469921575744,0.7767543918455178,0
73,1.8735513585315902,0.81386491796022,0
74,1.623291065047856,0.6144031151199871,0
75,1.323291053126927,0.33710752567296565,0
76,1.0232910412059981,0.05823795637136042,0
77,0.7232910292850692,-0.2204671637153095,0
78,0.42841564590799397,-0.4094455228185123,0
79,0.12999187881815022,-0.7077621207570499,0
80,-0.17000813310277874,-1.0077621326779789,0
81,-0.3571604294074815,-1.1949146972035831,0
82,-0.6571604413284104,-1.494914709124512,0
83,-0.8961787772668641,-1.7339330897664493,0
84,-1.179539020110492,-2.0172933624123996,0
85,-1.362510885049228,-2.2002655849790043,0
86,-1.5984383029235643,-2.436222477350182,0
87,-1.8984383148444932,-2.736222489271111,0
88,-1.5984383029235643,-2.9470411972140735,0
89,-1.3526419651998323,-3.2470412091350025,0
90,-1.0526419532789033,-3.4542471156453556,0
91,-1.1965741915000718,-3.7542471275662845,0
92,-1.324650444876916,-3.774294794910354,0
93,-1.1021820022322406,-3.8451521210421995,0
94,-1.1389113157291928,-3.8344335976652406,0
95,-0.8210483990808828,-3.9148281605156976,0
96,-0.9605292071649566,-3.8829606799687095,0
97,-0.6674480582040505,-3.9439210298381533,0
98,-0.638940162074075,-3.9486396985909917,0
99,-0.5528558619454036,-3.9616095713627058,0
100,-0.5126901251669138,-3.9670075416560953,0
101,-0.5741340440899274,-3.958581829319301,0
102,-0.5599345934640226,-3.9606152616787056,0
103,-0.5180247692876662,-3.966314452789196,0
104,-0.3907511231010049,-3.9808684429148506,0
105,-0.502050326880634,-3.968368111614527,0
106,-0.4869809880332342,-3.9702455235531944,0
107,-0.4342322489216813,-3.9763604406537922,0
108,-0.5034316460252428,-3.9681931124606717,0
109,-0.5346161470006948,-3.964112205193759,0
110,-0.49513569752011527,-3.969236783191609,0
111,-0.42736595797740234,-3.97710426541247,0
112,-0.4481014626284519,-3.974821389596046,0
113,-0.5842466884114085,-3.9571019455000527,0
114,-0.502722434656102,-3.9682830233859887,0
115,-0.49248187719911496,-3.9695669285994457,0
116,-0.5181431410358276,-3.9662989909230904,0
117,-0.6477100773791443,-3.947210617089175,0
118,-0.6336333615189744,-3.9494947478342293,0
119,-0.5772477784368429,-3.9581289774702553,0
120,-0.5507262028516607,-3.961906188880876,0
121,-0.511922616032362,-3.967106657905051,0
122,-0.49781770216787646,-3.9689013007894633,0
123,-0.44105968590599276,-3.9756089286382914,0
124,-0.3281894832716454,-3.9865137229250682,0
125,-0.23293347552513316,-3.9932119898622687,0
126,0.06705711150989913,-3.999437878476918,0
127,0.31661567152912656,-3.9874496255805116,0
128,0.6166156834500556,-3.6874496136595827,0
129,0.9166156953709845,-3.3874496017386537,0
130,1.2164716726678138,-3.0875728820254427,0
131,1.4905892318623786,-2.813253561108313,0
132,1.7905892437833075,-2.513253549187384,0
133,2.0905892557042365,-2.2132535372664552,0
134,2.3213896459477668,-1.9528824780871492,0
135,2.4624743169682746,-1.6960794721533876,0
136,2.5806706777351622,-1.3960794602324587,0
137,2.6803236684339766,-1.0960794483115297,0
138,2.7063347312199597,-0.7960794363906007,0
139,2.5847226666795735,-0.5029631648947817,0
140,2.4999332862483983,-0.2029631529738527,0
141,2.444698161123944,0.005680387766160422,0
142,2.456326207755757,0.3056803996870894,0
143,2.156326195834828,0.4987894798825163,0
144,1.856326183913899,0.7178099508593458,0
145,1.5770386668431287,0.6491548995683569,0
146,1.3219057234513287,0.4637522231052298,0
147,1.073415717719746,0.25352571711043304,0
148,0.7734157057988171,-0.033297615199289865,0
149,0.4734156938778882,-0.31632982388039643,0
150,0.17341568195695922,-0.6163298358013254,0
151,-0.12658432996396973,-0.9163298477222543,0
152,-0.423519769073772,-1.2132685650875192,0
153,-0.7235197809947009,-1.5132685770084482,0
154,-0.9809922066939349,-1.7707410027076822,0
155,-1.235267677665996,-2.0250165034820657,0
156,-1.5278233674777026,-2.3175727595378977,0
157,-1.8278233793986316,-2.6175727714588266,0
158,-1.9469757018101688,-2.9175727833797556,0
159,-1.6469756898892398,-3.1524580587436777,0
160,-1.3469756779683109,-3.435770290045939,0
161,-1.1694540319455142,-3.735770301966868,0
162,-1.3091953723241698,-3.7796835154659414,0
163,-1.1890386077115576,-3.8191867183173125,0
164,-0.9879632997103567,-3.876071273651379,0
165,-1.0713872338328445,-3.8538460523456313,0
166,-0.796770469652489,-3.9198414277480342,0
167,-0.6346358313503885,-3.949333787053989,0
168,-0.5750580212658766,-3.958447709920869,0
169,-0.5555011198165695,-3.961239516348707,0
170,-0.5265003820914325,-3.965198273435715,0
171,-0.5562593328798574,-3.9611331149791034,0
172,-0.48049827869263656,-3.971035306336801,0
173,-0.46668814073495846,-3.9726819881910185,0
